_date,total_views,unique_views
2024-06-13,13,5
2024-06-14,73,7
2024-06-15,1,1
2024-06-16,1,1
2024-06-17,27,7
2024-06-18,40,6
2024-06-19,25,3
2024-06-20,39,2
2024-06-21,6,2
2024-06-22,42,2
2024-06-23,35,2
2024-06-24,48,9
2024-06-25,88,8
2024-06-26,38,7
2024-06-27,34,7
2024-06-28,11,7
2024-07-01,42,3
2024-07-02,69,7
2024-07-03,31,6
2024-07-04,58,6
2024-07-05,12,3
2024-07-08,56,6
2024-07-10,20,4
2024-07-11,75,3
2024-07-12,21,6
2024-07-15,11,4
2024-07-16,174,8
2024-07-17,59,4
2024-07-18,38,6
2024-07-19,10,2
2024-07-22,101,5
2024-07-23,113,6
2024-07-24,89,8
2024-07-25,35,4
2024-07-26,108,5
2024-07-29,74,11
2024-07-30,39,4
2024-07-31,102,6
2024-08-01,55,6
2024-08-02,22,3
2024-08-05,137,4
2024-08-06,118,3
2024-08-07,256,7
2024-08-08,165,11
2024-08-09,130,12
2024-08-11,1,1
2024-08-12,203,9
2024-08-13,151,7
2024-08-14,239,11
2024-08-15,19,3
2024-08-16,98,7
2024-08-18,7,1
2024-08-19,407,10
2024-08-20,72,4
2024-08-21,119,11
2024-08-22,195,12
2024-08-23,147,9
2024-08-25,4,1
2024-08-26,98,5
2024-08-27,192,6
2024-08-28,92,5
2024-08-29,39,6
2024-08-30,14,4
2024-09-01,4,1
2024-09-02,111,5
2024-09-03,177,8
2024-09-04,315,10
2024-09-05,138,11
2024-09-06,89,7
2024-09-07,113,4
2024-09-08,4,3
2024-09-09,55,5
2024-09-10,154,6
2024-09-11,92,5
2024-09-12,25,3
2024-09-13,84,7
2024-09-14,1,1
2024-09-15,1,1
2024-09-16,112,9
2024-09-17,44,6
2024-09-18,7,4
2024-09-19,162,11
2024-09-20,207,9
2024-09-21,22,3
2024-09-22,7,2
2024-09-23,302,12
2024-09-24,383,15
2024-09-25,209,11
2024-09-26,65,7
2024-09-27,137,8
2024-09-28,19,5
2024-09-29,2,1
2024-09-30,57,7
2024-10-01,90,9
2024-10-02,62,11
2024-10-03,49,6
2024-10-04,25,6
2024-10-06,1,1
2024-10-07,50,13
2024-10-08,6,2
2024-10-09,17,5
2024-10-10,24,3
2024-10-11,26,6
2024-10-12,43,3
2024-10-13,6,3
2024-10-14,81,8
2024-10-15,95,11
2024-10-16,44,7
2024-10-17,22,7
2024-10-18,114,11
2024-10-20,14,2
2024-10-21,198,11
2024-10-22,108,8
2024-10-23,29,7
2024-10-24,137,5
2024-10-25,4,3
2024-10-26,1,1
2024-10-27,1,1
2024-10-28,31,3
2024-10-29,4,4
2024-10-30,23,5
2024-10-31,11,6
2024-11-01,23,5
2024-11-03,1,1
2024-11-04,42,8
2024-11-05,5,3
2024-11-06,6,5
2024-11-07,132,16
2024-11-08,52,12
2024-11-09,8,2
2024-11-10,2,2
2024-11-11,20,3
2024-11-12,211,11
2024-11-13,16,4
2024-11-14,100,9
2024-11-15,45,5
2024-11-16,14,2
2024-11-17,6,3
2024-11-18,120,8
2024-11-19,53,5
2024-11-20,54,8
2024-11-21,13,6
2024-11-22,23,2
2024-11-24,8,2
2024-11-25,134,8
2024-11-26,162,13
2024-11-27,308,9
2024-11-28,120,6
2024-11-29,27,7
2024-11-30,19,4
2024-12-01,16,3
